STNAME,CTYNAME,NHWA,NHBA,NHIA,NHAA,NHNA,H,NHWA_perc,NHBA_perc,NHIA_perc,NHAA_perc,NHNA_perc,H_perc
North Dakota,Dunn County,3548,72,386,60,1,249,80.19891500904158,1.6274864376130198,8.725135623869802,1.3562386980108498,0.022603978300180832,5.628390596745027
North Dakota,Eddy County,2035,11,95,6,4,99,88.9811980760822,0.48097944905990386,4.153913423699169,0.2623524267599475,0.17490161783996502,4.328815041539134
North Dakota,Emmons County,3090,9,36,29,0,37,95.34094415303917,0.27769207034865784,1.1107682813946314,0.8947855600123419,0.0,1.1416229558778155
North Dakota,Foster County,3033,12,44,18,0,74,94.4859813084112,0.37383177570093457,1.3707165109034267,0.5607476635514019,0.0,2.3052959501557635
North Dakota,Golden Valley County,1641,11,22,3,2,59,93.18568994889267,0.6246450880181715,1.249290176036343,0.17035775127768316,0.1135718341851221,3.350369108461102
North Dakota,Grand Forks County,57701,2931,1802,1976,41,3248,83.08159709723401,4.220241609192092,2.594635066449727,2.845171415818347,0.059034427150077035,4.676678521547565
North Dakota,Grant County,2153,3,37,5,0,33,94.67897977132806,0.13192612137203166,1.6270888302550572,0.2198768689533861,0.0,1.4511873350923483
North Dakota,Griggs County,2167,10,14,4,0,29,97.13133124159569,0.44822949350067237,0.6275212909009413,0.17929179740026896,0.0,1.2998655311519496
North Dakota,Hettinger County,2267,16,78,8,4,69,90.71628651460584,0.6402561024409764,3.1212484993997602,0.3201280512204882,0.1600640256102441,2.7611044417767108
North Dakota,Kidder County,2317,9,5,16,0,117,93.42741935483872,0.36290322580645157,0.20161290322580644,0.6451612903225805,0.0,4.717741935483872
North Dakota,LaMoure County,3903,13,22,3,0,69,96.46564508156203,0.32130499258526946,0.5437469105289175,0.07414730598121601,0.0,1.7053880375679684
North Dakota,Logan County,1750,3,13,7,0,48,94.5945945945946,0.1621621621621622,0.7027027027027026,0.3783783783783784,0.0,2.5945945945945947
North Dakota,McHenry County,5489,22,44,18,0,114,95.54395126196692,0.3829416884247171,0.7658833768494343,0.3133159268929504,0.0,1.9843342036553526
North Dakota,McIntosh County,2350,20,17,23,0,65,94.11293552262717,0.8009611533840608,0.6808169803764519,0.9211053263916701,0.0,2.6031237484981977
North Dakota,McKenzie County,11455,288,1225,124,32,1458,76.24467518636847,1.9169329073482428,8.153620873269436,0.825346112886049,0.21299254526091585,9.70447284345048
North Dakota,McLean County,8349,43,609,27,5,243,88.34920634920636,0.45502645502645495,6.444444444444445,0.2857142857142857,0.052910052910052914,2.5714285714285716
North Dakota,Mercer County,7546,50,175,41,6,247,92.17051422987664,0.6107243190423843,2.137535116648345,0.5007939416147551,0.07328691828508611,3.016978136069378
North Dakota,Morton County,27856,396,1074,142,28,1292,88.81520214258384,1.2625940568804999,3.42430812396378,0.4527483739318965,0.08927432725417676,4.119372529014156
North Dakota,Mountrail County,6155,168,2934,38,4,943,58.36889521100048,1.593172119487909,27.823613086770983,0.3603603603603604,0.03793266951161688,8.94262683736368
North Dakota,Nelson County,2622,25,44,4,1,133,91.07328933657519,0.8683570684265369,1.528308440430705,0.13893713094824592,0.03473428273706148,4.619659604029177
North Dakota,Oliver County,1828,8,57,5,0,40,93.31291475242472,0.408371618172537,2.909647779479326,0.2552322613578356,0.0,2.041858090862685
North Dakota,Pembina County,6163,46,134,27,1,232,90.61902661373328,0.6763711218938391,1.9702984855168357,0.39700044111160127,0.014703720041170416,3.411263049551536
North Dakota,Pierce County,3604,33,191,9,1,80,90.66666666666666,0.8301886792452828,4.80503144654088,0.22641509433962265,0.025157232704402517,2.0125786163522013
North Dakota,Ramsey County,9450,94,1126,135,3,370,82.03837138640506,0.8160430592933414,9.77515409323726,1.171976734091501,0.026043927424255577,3.212084382324855
